County,UAT,p_PARTIDUL SOCIAL DEMOCRAT,p_PARTIDUL NAȚIONAL LIBERAL,p_ALIANȚA USR PLUS,p_None,p_PARTIDUL MIȘCAREA POPULARĂ,p_PARTIDUL PRO ROMÂNIA,p_PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE,p_PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL),p_ALIANȚA PENTRU UNIREA ROMÂNILOR,p_PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT,p_UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,p_PARTIDUL VERDE,p_PARTIDUL ACȚIUNEA NAȚIONALĂ ALBA,p_PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE,p_PARTIDUL ROMÂNIA MARE,p_PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,p_PARTIDUL PHRALIPE AL ROMILOR,cl_PARTIDUL SOCIAL DEMOCRAT,cl_PARTIDUL NAȚIONAL LIBERAL,cl_ALIANȚA USR PLUS,cl_None,cl_PARTIDUL MIȘCAREA POPULARĂ,cl_PARTIDUL PRO ROMÂNIA,cl_PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE,cl_PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL),cl_ALIANȚA PENTRU UNIREA ROMÂNILOR,cl_PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT,cl_UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,cl_PARTIDUL VERDE,cl_PARTIDUL ACȚIUNEA NAȚIONALĂ ALBA,cl_PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE,cl_PARTIDUL ROMÂNIA MARE,cl_PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,cl_PARTIDUL PHRALIPE AL ROMILOR,cj_PARTIDUL SOCIAL DEMOCRAT,cj_PARTIDUL NAȚIONAL LIBERAL,cj_ALIANȚA USR PLUS,cj_None,cj_PARTIDUL MIȘCAREA POPULARĂ,cj_PARTIDUL PRO ROMÂNIA,cj_PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE,cj_PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL),cj_ALIANȚA PENTRU UNIREA ROMÂNILOR,cj_PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT,cj_UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,cj_PARTIDUL VERDE,cj_PARTIDUL ACȚIUNEA NAȚIONALĂ ALBA,cj_PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE,cj_PARTIDUL ROMÂNIA MARE,cj_PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,cj_PARTIDUL PHRALIPE AL ROMILOR,pcj_PARTIDUL SOCIAL DEMOCRAT,pcj_PARTIDUL NAȚIONAL LIBERAL,pcj_ALIANȚA USR PLUS,pcj_None,pcj_PARTIDUL MIȘCAREA POPULARĂ,pcj_PARTIDUL PRO ROMÂNIA,pcj_PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE,pcj_PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL),pcj_ALIANȚA PENTRU UNIREA ROMÂNILOR,pcj_PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT,pcj_UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,pcj_PARTIDUL VERDE,pcj_PARTIDUL ACȚIUNEA NAȚIONALĂ ALBA,pcj_PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE,pcj_PARTIDUL ROMÂNIA MARE,pcj_PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,pcj_PARTIDUL PHRALIPE AL ROMILOR
ALBA,ALBAC,56957.0,164153.0,31380.0,301849.0,13760.0,8402.0,11465.0,1530.0,8593.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,56957.0,164153.0,31380.0,302862.0,13760.0,8402.0,11465.0,1530.0,8593.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,56957.0,164153.0,31380.0,303847.0,13760.0,8402.0,11465.0,1530.0,8593.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,57100.0,164860.0,31435.0,303847.0,13769.0,8417.0,11520.0,1537.0,8608.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0
ALBA,ALMAŞU MARE,57132.0,165185.0,31558.0,303847.0,13955.0,8571.0,11520.0,1537.0,8608.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,57132.0,165185.0,31558.0,304655.0,13955.0,8571.0,11520.0,1537.0,8608.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,57132.0,165185.0,31558.0,305456.0,13955.0,8571.0,11520.0,1537.0,8608.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,57229.0,165517.0,31648.0,305456.0,14107.0,8649.0,11553.0,1545.0,8622.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0
ALBA,ARIEŞENI,57825.0,166174.0,31648.0,305456.0,14107.0,8649.0,11553.0,1545.0,8622.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,57825.0,166174.0,31648.0,306704.0,14107.0,8649.0,11553.0,1545.0,8622.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,57825.0,166174.0,31648.0,307916.0,14107.0,8649.0,11553.0,1545.0,8622.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,58341.0,166832.0,31656.0,307916.0,14121.0,8673.0,11564.0,1546.0,8630.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0
ALBA,AVRAM IANCU,58471.0,167507.0,31656.0,307916.0,14156.0,8673.0,11581.0,1546.0,8630.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,58471.0,167507.0,31656.0,308750.0,14156.0,8673.0,11581.0,1546.0,8630.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,58471.0,167507.0,31656.0,309554.0,14156.0,8673.0,11581.0,1546.0,8630.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,58564.0,168101.0,31671.0,309554.0,14182.0,8686.0,11598.0,1577.0,8667.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0
ALBA,BERGHIN,58634.0,168624.0,31671.0,309554.0,14268.0,8686.0,11598.0,1577.0,8667.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,58634.0,168624.0,31671.0,310234.0,14268.0,8686.0,11598.0,1577.0,8667.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,58634.0,168624.0,31671.0,310885.0,14268.0,8686.0,11598.0,1577.0,8667.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,58692.0,169103.0,31690.0,310885.0,14334.0,8708.0,11607.0,1580.0,8683.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0
ALBA,BISTRA,58891.0,170712.0,31690.0,310885.0,14385.0,8708.0,11668.0,1700.0,8683.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,58891.0,170712.0,31690.0,312906.0,14385.0,8708.0,11668.0,1700.0,8683.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,58891.0,170712.0,31690.0,314900.0,14385.0,8708.0,11668.0,1700.0,8683.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,59245.0,172130.0,31717.0,314900.0,14423.0,8770.0,11710.0,1759.0,8715.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0
ALBA,BLANDIANA,59475.0,172542.0,31717.0,314900.0,14423.0,8770.0,11710.0,1759.0,8715.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,59475.0,172542.0,31717.0,315529.0,14423.0,8770.0,11710.0,1759.0,8715.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,59475.0,172542.0,31717.0,316132.0,14423.0,8770.0,11710.0,1759.0,8715.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,59618.0,172961.0,31741.0,316132.0,14435.0,8781.0,11715.0,1765.0,8724.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0
ALBA,BUCERDEA GRÂNOASĂ,59884.0,173580.0,31741.0,316132.0,14667.0,8781.0,11715.0,1765.0,8724.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,59884.0,173580.0,31741.0,317235.0,14667.0,8781.0,11715.0,1765.0,8724.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,59884.0,173580.0,31741.0,318295.0,14667.0,8781.0,11715.0,1765.0,8724.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,60075.0,174230.0,31762.0,318295.0,14827.0,8795.0,11749.0,1768.0,8744.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0
ALBA,BUCIUM,60635.0,174394.0,31762.0,318295.0,14827.0,8834.0,11749.0,1768.0,8744.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,60635.0,174394.0,31762.0,319059.0,14827.0,8834.0,11749.0,1768.0,8744.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,60635.0,174394.0,31762.0,319792.0,14827.0,8834.0,11749.0,1768.0,8744.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,61003.0,174686.0,31776.0,319792.0,14835.0,8857.0,11783.0,1768.0,8762.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0
ALBA,CÂLNIC,61144.0,174941.0,31776.0,320291.0,14987.0,8857.0,11783.0,1768.0,8762.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,61144.0,174941.0,31776.0,321279.0,14987.0,8857.0,11783.0,1768.0,8762.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,61144.0,174941.0,31776.0,322212.0,14987.0,8857.0,11783.0,1768.0,8762.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0,61324.0,175400.0,31876.0,322212.0,15174.0,8879.0,11791.0,1777.0,8775.0,335.0,1555.0,884.0,1556.0,90.0,31.0,106.0,66.0
