County,UAT,cl_None
ALBA,ALBAC,1013.0
ALBA,ALMAŞU MARE,808.0
ALBA,ARIEŞENI,1248.0
ALBA,AVRAM IANCU,834.0
ALBA,BERGHIN,680.0
ALBA,BISTRA,2021.0
ALBA,BLANDIANA,629.0
ALBA,BUCERDEA GRÂNOASĂ,1103.0
ALBA,BUCIUM,764.0
ALBA,CÂLNIC,988.0
ALBA,CENADE,440.0
ALBA,CERGĂU,903.0
ALBA,CERU-BĂCĂINŢI,239.0
ALBA,CETATEA DE BALTĂ,1132.0
ALBA,CIUGUD,1772.0
ALBA,CIURULEASA,689.0
ALBA,CRĂCIUNELU DE JOS,1051.0
ALBA,CRICĂU,1197.0
ALBA,CUT,718.0
ALBA,DAIA ROMÂNĂ,1464.0
ALBA,DOŞTAT,531.0
ALBA,FĂRĂU,855.0
ALBA,GALDA DE JOS,2034.0
ALBA,GÂRBOVA,1011.0
ALBA,GÂRDA DE SUS,859.0
ALBA,HOPÂRTA,528.0
ALBA,HOREA,1159.0
ALBA,IGHIU,3023.0
ALBA,ÎNTREGALDE,382.0
ALBA,JIDVEI,2310.0
ALBA,LIVEZILE,802.0
ALBA,LOPADEA NOUĂ,1708.0
ALBA,LUNCA MUREŞULUI,1257.0
ALBA,LUPŞA,1697.0
ALBA,METEŞ,1529.0
ALBA,MIHALŢ,1897.0
ALBA,MIRĂSLĂU,887.0
ALBA,MOGOŞ,466.0
ALBA,MUNICIPIUL AIUD,8095.0
ALBA,MUNICIPIUL ALBA IULIA,21920.0
ALBA,MUNICIPIUL BLAJ,6936.0
ALBA,MUNICIPIUL SEBEŞ,10429.0
ALBA,NOŞLAC,727.0
ALBA,OCOLIŞ,396.0
ALBA,OHABA,443.0
ALBA,ORAŞ ABRUD,2269.0
ALBA,ORAŞ BAIA DE ARIEŞ,1778.0
ALBA,ORAŞ CÂMPENI,4134.0
ALBA,ORAŞ CUGIR,8162.0
ALBA,ORAŞ OCNA MUREŞ,4162.0
ALBA,ORAŞ TEIUŞ,2891.0
ALBA,ORAŞ ZLATNA,3518.0
ALBA,PIANU,1678.0
ALBA,POIANA VADULUI,635.0
ALBA,PONOR,492.0
ALBA,POŞAGA,662.0
ALBA,RĂDEŞTI,718.0
ALBA,RÂMEŢ,337.0
ALBA,RIMETEA,530.0
ALBA,ROŞIA DE SECAŞ,785.0
ALBA,ROŞIA MONTANĂ,1532.0
ALBA,SĂLCIUA,767.0
ALBA,SĂLIŞTEA,1375.0
ALBA,SÂNCEL,1185.0
ALBA,SÂNTIMBRU,1412.0
ALBA,SĂSCIORI,2677.0
ALBA,SCĂRIŞOARA,921.0
ALBA,ŞIBOT,1256.0
ALBA,SOHODOL,826.0
ALBA,ŞONA,1802.0
ALBA,ŞPRING,1447.0
ALBA,STREMŢ,1350.0
ALBA,ŞUGAG,1316.0
ALBA,UNIREA,1906.0
ALBA,VADU MOŢILOR,922.0
ALBA,VALEA LUNGĂ,1654.0
ALBA,VIDRA,947.0
